01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
01-05 20:35:46.468	          linker	[Debug]	        dji_protocol_v1.c:264  protocol frame length error
